Country,City,AccentCity,Region,Population,Latitude,Longitude
ae,adgat,Adgat,04,,25.498669,56.358302
ae,batein,Batein,01,,24.442901,54.355388
ae,hajarain,Hajarain,03,,24.798996,56.115379
ae,milqata,Milqata,01,,23.066667,53.533333
ae,suheila,Suheila,02,,24.803878,56.194487
af,`abbas kushtah,`Abbas Kushtah,27,,34.331309,67.640744
af,`abd ol haqq kalay,`Abd ol Haqq Kalay,28,,31.932216,66.654759
af,abdul ahd bay kamari,Abdul Ahd Bay Kamari,02,,35.074092,63.151696
af,`abdullahkhan,`Abdullahkhan,02,,34.78984,63.502623
af,`abd ur rahimzai,`Abd ur Rahimzai,35,,34.50872,70.23127
af,ab-e-shor,Ab-e-Shor,26,,36.941357,69.318092
af,abolkheyl,Abolkheyl,27,,34.365833,68.839722
af,ab sulakh,Ab Sulakh,06,,32.505119,62.061405
af,adamcheray,Adamcheray,13,,34.713782,69.814734
af,adin za'i,Adin Za'i,10,,31.862841,64.668143
af,afghanyah,Afghanyah,14,,34.959637,69.618553
af,aghar,Aghar,27,,34.119722,68.739167
af,ahengaran,Ahengaran,27,,34.520025,68.236429
af,ahmad ze'i ghelja'i,Ahmad Ze'i Ghelja'i,36,,34.032759,69.590428
af,akbali-bala,Akbali-Bala,11,,34.712604,62.495527
af,akhmedzukalay,Akhmedzukalay,18,,34.201427,69.533699
af,akhundi,Akhundi,19,,30.852778,61.885
af,akhundzadah sahib kelay,Akhundzadah Sahib Kelay,23,,31.718715,66.190089
af,akrabat,Akrabat,05,,34.935041,67.656567
af,alakadari-khodzha-umri,Alakadari-Khodzha-Umri,08,,33.689157,68.401718
af,alamlay,Alamlay,32,,35.724948,67.574982
af,`alaqehdari sar howzeh,`Alaqehdari Sar Howzeh,29,,33.070152,69.030396
af,alefsan kala,Alefsan Kala,03,,35.916758,68.506081
af,ali chah karez,Ali Chah Karez,11,,34.054935,61.69495
af,`ali khel,`Ali Khel,18,,34.119576,70.318321
af,`ali niyazi,`Ali Niyazi,08,,33.143311,68.077209
af,`alizayi,`Alizayi,23,,30.193825,66.009211
af,alogak,Alogak,05,,34.226175,67.167519
af,alukheyl',Alukheyl',13,,34.325,69.161111
af,ambadarreh,Ambadarreh,01,,36.494627,70.204144
